[ 2026-02-25 12:04:10,739 ] 17 root - INFO - Initiate the data ingestion
[ 2026-02-25 12:04:36,671 ] 55 root - INFO - Performed train test split on dataframe
[ 2026-02-25 12:04:36,671 ] 57 root - INFO - Exited split_data_as_train_test_mrthod od Data_Ingestion Class
[ 2026-02-25 12:04:36,672 ] 64 root - INFO - Exporting train and test file path
[ 2026-02-25 12:04:36,769 ] 70 root - INFO - Exported train and test file path.
[ 2026-02-25 12:04:36,769 ] 20 root - INFO - Data Initiation Completed
[ 2026-02-25 12:04:36,777 ] 23 root - INFO - Initiate the data validation
[ 2026-02-25 12:04:36,807 ] 33 root - INFO - Required number of columns: 2
[ 2026-02-25 12:04:36,807 ] 34 root - INFO - Data frame has columns: 31
[ 2026-02-25 12:04:36,807 ] 33 root - INFO - Required number of columns: 2
[ 2026-02-25 12:04:36,807 ] 34 root - INFO - Data frame has columns: 31
[ 2026-02-25 12:04:37,125 ] 25 root - INFO - Data Validation Completed
[ 2026-02-25 12:04:37,126 ] 28 root - INFO - Data Transformation Started
[ 2026-02-25 12:04:37,126 ] 44 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-25 12:04:37,126 ] 46 root - INFO - Starting data transformation
[ 2026-02-25 12:04:37,167 ] 33 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-02-25 12:04:37,168 ] 36 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-25 12:04:37,191 ] 40 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-25 12:04:37,195 ] 44 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-25 12:04:37,195 ] 32 root - INFO - Data Transformation Completed
[ 2026-02-25 12:04:37,195 ] 33 root - INFO - Model Training Started
[ 2026-02-25 12:10:52,137 ] 40 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-25 12:10:52,183 ] 44 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-25 12:10:52,183 ] 92 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/02_25_2026_12_04_08/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917138237671786, precision_score=0.9895140149223633, recall_score=0.9939234352845858), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9727087576374746, precision_score=0.9668016194331984, recall_score=0.978688524590164))
[ 2026-02-25 12:10:52,185 ] 37 root - INFO - Model Training artifact created
